,SHOCK_Index,VOL_Base_Index,MDI_Index,LEARN_Index,ESCAPE_Index,IIP_sa,INFL_sa,EXR
2023-03-05,4.8,6.6,16.6,3.2,19.2,100.89661421929632,0.05180512569951112,116.74158
2023-03-12,5.2,8.0,16.6,3.4,18.4,100.91560294556137,0.08777313057477532,117.23316
2023-03-19,6.2,10.6,17.4,4.2,19.0,100.93459167182644,0.08769615691246457,116.43897999999999
2023-03-26,6.4,9.6,17.6,6.2,18.6,100.9535803980915,0.08761931813774382,115.47346
2023-04-02,6.2,8.6,16.2,6.4,18.6,100.97256912435655,0.08754261389636309,114.84754000000001
2023-04-09,6.4,7.0,16.0,5.2,19.8,100.90505828592416,0.024489431549978846,114.01204
2023-04-16,6.6,8.4,18.6,5.8,19.8,100.83754744749174,0.02448343569576572,113.91936000000001
2023-04-23,6.2,7.4,18.8,6.2,18.2,100.77003660905935,0.024477442776782432,114.01088
2023-04-30,5.8,8.0,16.8,6.6,18.4,100.70252577062693,0.024471452790963966,113.9864
2023-05-07,5.8,7.6,15.8,6.0,18.4,100.63501493219454,0.024465465736045466,113.95298
2023-05-14,5.8,6.2,14.8,6.4,19.8,100.47229279040404,0.01957971882582399,113.88846000000001
2023-05-21,5.2,6.6,15.0,5.8,16.8,100.30957064861354,0.01957588592240711,114.89682
2023-05-28,4.6,5.8,13.0,5.4,17.0,100.14684850682303,0.019572054519323423,115.83824
2023-06-04,4.6,6.2,13.4,6.6,17.2,99.98412636503254,0.019568224615751362,115.9051
2023-06-11,4.6,5.4,13.2,6.0,17.6,100.15416315085956,0.06370800835417967,115.38807999999999
2023-06-18,4.0,5.0,13.8,6.2,17.2,100.32419993668658,0.06366744709165317,114.36448
2023-06-25,4.0,6.2,13.2,6.0,18.2,100.4942367225136,0.0636269374449272,114.020025
2023-07-02,3.4,4.6,12.6,5.4,16.2,100.66427350834063,0.06358647931550276,114.30095999999999
2023-07-09,4.0,5.4,13.8,6.0,18.8,100.6573439250073,0.10509242823883991,114.45005
2023-07-16,3.6,4.4,14.6,6.0,18.4,100.65041434167395,0.10498210000076114,112.51918
2023-07-23,3.4,5.0,13.6,5.8,19.0,100.64348475834062,0.1048720031694872,112.12328
2023-07-30,3.4,4.8,14.0,6.0,18.6,100.63655517500727,0.10476213701786641,112.92357999999999
2023-08-06,3.2,4.8,14.4,5.0,17.2,100.62962559167394,0.10465250082154487,113.84031999999999
2023-08-13,3.4,4.2,13.2,6.2,17.4,100.69273783125728,0.08247728699068979,114.34094
2023-08-20,3.6,4.4,13.8,5.0,16.8,100.75585007084061,0.08240931802097062,115.11912
2023-08-27,4.2,4.2,15.0,5.2,17.4,100.81896231042394,0.08234146098451411,115.64877999999999
2023-09-03,4.0,3.8,14.6,4.6,16.0,100.88207455000727,0.08227371560507457,115.67816
2023-09-10,4.6,5.0,15.6,5.0,17.4,100.8342690263209,0.025775120874005353,116.82055
2023-09-17,4.8,4.0,16.8,5.0,18.8,100.78646350263452,0.02576847901740731,116.6115
2023-09-24,5.2,4.8,16.0,5.2,18.0,100.73865797894814,0.025761840582916307,116.73060000000001
2023-10-01,4.6,4.8,15.8,4.8,18.4,100.69085245526176,0.02575520556791222,117.75514000000001
2023-10-08,4.8,4.4,15.2,4.6,17.6,100.78490148643891,0.032160195343067244,118.53971999999999
2023-10-15,5.0,6.2,16.2,5.0,18.0,100.87895051761608,0.032149855886598466,117.92615
2023-10-22,5.2,4.8,16.6,4.8,17.6,100.97299954879323,0.03213952307625778,118.13344
2023-10-29,4.8,5.2,15.8,4.6,17.2,101.06704857997039,0.032129196905605895,118.31864
2023-11-05,5.4,5.4,17.0,5.0,17.8,101.16109761114754,0.03211887736824792,118.30295999999998
2023-11-12,5.8,5.6,18.0,5.4,18.8,101.09586462928564,0.06385949533140867,117.49515
2023-11-19,5.0,3.2,13.2,5.6,13.0,101.03063164742376,0.06381874100547247,116.76442
2023-11-26,5.8,5.0,18.2,7.0,17.6,100.96539866556188,0.06377803866415288,115.855875
2023-12-03,6.0,5.6,19.0,6.2,17.4,100.90016568369998,0.06373738820806274,115.16432
2023-12-10,5.8,5.0,17.8,5.4,17.8,100.69486861576098,0.1124148282866777,115.82922
2023-12-17,3.8,3.4,11.8,5.2,14.6,100.48957154782198,0.11228859925063173,115.14466
2023-12-24,2.8,3.0,9.4,4.6,11.8,100.28427447988297,0.11216265337827824,113.82676000000001
2023-12-31,3.4,4.6,12.4,5.8,17.0,100.07897741194397,0.11203698971784526,112.76405
2024-01-07,4.4,8.8,14.6,6.0,18.6,99.87368034400497,0.11191160732186844,113.9836
2024-01-14,4.6,9.2,15.0,6.0,18.4,99.96573666174972,0.040772706512348655,114.15096000000001
2024-01-21,5.2,10.2,17.2,6.6,21.0,100.05779297949448,0.0407560891517722,115.253075
