country,shock,response,week,irf,irf_units
VN,Job Insecurity (level),Job Insecurity (level),7,0.0908985,standardized (σ)
VN,Job Insecurity (level),Job Insecurity (level),8,0.1228126,standardized (σ)
VN,Job Insecurity (level),Job Insecurity (level),9,0.0563792,standardized (σ)
VN,Job Insecurity (level),Job Insecurity (level),10,0.0609864,standardized (σ)
VN,Job Insecurity (level),Job Insecurity (level),11,0.0483213,standardized (σ)
VN,Job Insecurity (level),Job Insecurity (level),12,0.0464457,standardized (σ)
VN,Job Insecurity (level),Job Insecurity (level),13,0.0310162,standardized (σ)
VN,Job Insecurity (level),Job Insecurity (level),14,0.0285706,standardized (σ)
VN,Job Insecurity (level),Job Insecurity (level),15,0.02213,standardized (σ)
VN,Job Insecurity (level),Job Insecurity (level),16,0.0187646,standardized (σ)
VN,Job Insecurity (level),Job Insecurity (level),17,0.0136183,standardized (σ)
VN,Job Insecurity (level),Job Insecurity (level),18,0.0113273,standardized (σ)
VN,Job Insecurity (level),Job Insecurity (level),19,0.0088597,standardized (σ)
VN,Job Insecurity (level),Job Insecurity (level),20,0.0072417,standardized (σ)
VN,Job Insecurity (level),Job Insecurity (level),21,0.0054542,standardized (σ)
VN,Job Insecurity (level),Job Insecurity (level),22,0.0042526,standardized (σ)
VN,Job Insecurity (level),Job Insecurity (level),23,0.0033112,standardized (σ)
VN,Job Insecurity (level),Job Insecurity (level),24,0.0025724,standardized (σ)
VN,Job Insecurity (level),Job Insecurity (level),25,0.0019361,standardized (σ)
VN,Job Insecurity (level),Job Insecurity (level),26,0.0014527,standardized (σ)
VN,Job Insecurity (level),Burnout (MDI),0,0.0,standardized (σ)
VN,Job Insecurity (level),Burnout (MDI),1,0.2172372,standardized (σ)
VN,Job Insecurity (level),Burnout (MDI),2,-0.0278073,standardized (σ)
VN,Job Insecurity (level),Burnout (MDI),3,-0.3559405,standardized (σ)
VN,Job Insecurity (level),Burnout (MDI),4,0.0098632,standardized (σ)
VN,Job Insecurity (level),Burnout (MDI),5,-0.0088011,standardized (σ)
VN,Job Insecurity (level),Burnout (MDI),6,0.0348628,standardized (σ)
VN,Job Insecurity (level),Burnout (MDI),7,-0.0522434,standardized (σ)
VN,Job Insecurity (level),Burnout (MDI),8,-0.0009386,standardized (σ)
VN,Job Insecurity (level),Burnout (MDI),9,-0.0056768,standardized (σ)
VN,Job Insecurity (level),Burnout (MDI),10,-0.000284,standardized (σ)
VN,Job Insecurity (level),Burnout (MDI),11,-0.010696,standardized (σ)
VN,Job Insecurity (level),Burnout (MDI),12,-0.0026468,standardized (σ)
VN,Job Insecurity (level),Burnout (MDI),13,0.0001598,standardized (σ)
VN,Job Insecurity (level),Burnout (MDI),14,0.0004364,standardized (σ)
VN,Job Insecurity (level),Burnout (MDI),15,-0.003033,standardized (σ)
VN,Job Insecurity (level),Burnout (MDI),16,-0.0010852,standardized (σ)
VN,Job Insecurity (level),Burnout (MDI),17,-0.0003773,standardized (σ)
VN,Job Insecurity (level),Burnout (MDI),18,-1.09e-05,standardized (σ)
VN,Job Insecurity (level),Burnout (MDI),19,-0.0007524,standardized (σ)
VN,Job Insecurity (level),Burnout (MDI),20,-0.0002105,standardized (σ)
VN,Job Insecurity (level),Burnout (MDI),21,-0.000105,standardized (σ)
VN,Job Insecurity (level),Burnout (MDI),22,-5.82e-05,standardized (σ)
VN,Job Insecurity (level),Burnout (MDI),23,-0.000153,standardized (σ)
VN,Job Insecurity (level),Burnout (MDI),24,-4.01e-05,standardized (σ)
VN,Job Insecurity (level),Burnout (MDI),25,7.4e-06,standardized (σ)
VN,Job Insecurity (level),Burnout (MDI),26,1.57e-05,standardized (σ)
VN,Job Insecurity (level),Job Quitting (level),0,0.0,standardized (σ)
VN,Job Insecurity (level),Job Quitting (level),1,0.1266945,standardized (σ)
VN,Job Insecurity (level),Job Quitting (level),2,0.0041878,standardized (σ)
VN,Job Insecurity (level),Job Quitting (level),3,-0.1130961,standardized (σ)
VN,Job Insecurity (level),Job Quitting (level),4,-0.0381889,standardized (σ)
VN,Job Insecurity (level),Job Quitting (level),5,-0.0429229,standardized (σ)
VN,Job Insecurity (level),Job Quitting (level),6,-0.0790278,standardized (σ)
